Codi_centre;Denominació_completa;Adreça;Telèfon;E-mail_centre;Nom_municipi;Nom_comarca;Codi_SSTT
8034138;Villar;c. Ciutat Freta, 31;932253792;a8034138@xtec.cat;;;0
8034141;Ramar 2;c. de Sant Sebastià, s/n;937904758;a8034141@xtec.cat;;;0
8034163;Esclat;rda. Sant Oleguer, 91-101;933714908;a8034163@xtec.cat;;;0
8034187;Balmes I;av. Can Fatjó, s/n;937951333;a8034187@xtec.cat;;;0
8034205;Avenç;c. Pablo Picasso, 3;933593404;a8034205@xtec.cat;;;0
8034217;Escola Alexandre Galí;c. Cerdanya, 23-25;936683762;a8034217@xtec.cat;;;0
8034229;Escola Splai;c. de Puigmal, s/n;937144195;a8034229@xtec.cat;;;0
8034242;Escola Seat;c. Pau Picasso, 2;933373658;a8034242@xtec.cat;;;0
8034266;Escola Rafael Casanova;av. Vallès, 483;933387290;a8034266@xtec.cat;;;0
8034278;Escola Torre Barona;c. Doctor Zamenhof, 20;937754690;a8034278@xtec.cat;;;0
8034291;Escola Margalló;c. Ermita de Bellvitge, 60;933893050;a8034291@xtec.cat;;;0
8034308;Escola Suris;Travessera de les Corts, 131-159;931145535;a8034308@xtec.cat;;;0
8034321;Escola de L'Estany - ZER El Moianès Llevant;pg. Salvat Papasseit, s/n;937980758;a8034321@xtec.cat;;;0
8034333;Escola Marcel·lí Moragas;c. Armand Obiols, 2-30;937981162;a8034333@xtec.cat;;;0
8034357;Escola Josep Janés;pça. de Muriel Casals, 2;937963073;a8034357@xtec.cat;;;0
8034382;Escola Rosa Sensat;c. Antonio Machado, 43;936990059;a8034382@xtec.cat;;;0
8034400;Escola Federico García Lorca;c. Amèrica, 53;936303345;a8034400@xtec.cat;;;0
8034412;Escola Can Parera;c. Rafael Llopart, s/n;936613866;a8034412@xtec.cat;;;0
8034448;Escola Sant Esteve - ZER El Cardener;Camí del Mig, 1 i 3;938932135;a8034448@xtec.cat;;;0
8034461;Escola Sant Jaume;c. Tàrrega, 41;935601165;a8034461@xtec.cat;;;0
8034485;Centre de formació professional Pejoan;c. Baix de Sant Pere, 15;937839560;a8034485@xtec.cat;;;0
8034497;Edgar;ctra. La Vella, s/n;938153078;a8034497@xtec.cat;;;0
8034527;Escola Escursell i Bartalot;c. Egara, 16;933356595;a8034527@xtec.cat;;;0
8034564;Escola La Torreta;c. Aprestadora, 35;933307457;a8034564@xtec.cat;;;0
8034576;Escola Montessori;c. Almeria, 1-7;933150203;a8034576@xtec.cat;;;0
8034591;Escola Serra i Húnter;c. Miquel Peiró, 45;937164212;a8034591@xtec.cat;;;0
8034606;Escola La Baumeta - ZER Els Castells;c. Dr. Portabella, s/n;938673470;a8034606@xtec.cat;;;0
8034621;Escola José Juan Ortiz;c. Guifré, 300;936582012;a8034621@xtec.cat;;;0
8034643;Escola Benviure;c. Torí/Pelai;933911661;a8034643@xtec.cat;;;0
8034667;Escola Antoni Tàpies;c. Lleida, s/n;938948142;a8034667@xtec.cat;;;0
8034709;Escola García Lorca;c. de Pere Tarrés, 33;933107226;a8034709@xtec.cat;;;0
8034734;Escola La Guàrdia;rbla. Sant Domènec, 24;937995652;a8034734@xtec.cat;;;0
8034746;Escola El Vallès;c. Consell de Cent, 395-397;937903751;a8034746@xtec.cat;;;0
8034783;Escola Xarau;pg. de Circumval·lació, 8;935640398;a8034783@xtec.cat;;;0
8034795;Cons. de Música de Badalona;ptge. Domingo, 3;938530202;a8034795@xtec.cat;;;0
8034801;Cons. de Música Municipal de Barcelona;c. Pallars, 402-416;937842525;a8034801@xtec.cat;;;0
8034837;E.S.Art Dramat. de l'Institut del Teatre;c. Fraga, 2;934228448;a8034837@xtec.cat;;;0
8034850;Cent.Sup.Música Liceu;c. Joan Miró, 41-43;934404903;a8034850@xtec.cat;;;0
8034862;Cons. de Música de Sabadell;av. Mare de Déu de Montserrat, 51;933387690;a8034862@xtec.cat;;;0
8034904;Cons. de Música de Terrassa;ptge. Tres Turons, 1;937143835;a8034904@xtec.cat;;;0
8034916;Esc. de Música Municipal Mestre Montserrat;c. Baró d'Esponellà, 1-15;933833657;a8034916@xtec.cat;;;0
8034965;Centre Autor. de Grau Mitja i Super. d'APD Elisava;av. Escolapi Càncer, 8;933977750;a8034965@xtec.cat;;;0
8034989;EA Massana;av. 11 de Setembre, s/n;933812109;a8034989@xtec.cat;;;0
8034990;EA Municipal Arsenal;c. Santa Maria del Camí, s/n;936401196;a8034990@xtec.cat;;;0
8035003;EA de Terrassa;c. de Joan Pascual i Batlle, 1-15;938854851;a8035003@xtec.cat;;;0
8035015;EA de Vilanova i la Geltrú;c. Zuloaga, s/n;934876594;a8035015@xtec.cat;;;0
8035039;EOI de Barcelona;c. Dr. Buxó, s/n;932540497;a8035039@xtec.cat;;;0
8035064;Cons. de Música de Manresa;ctra. de Santiga, s/n;932152323;a8035064@xtec.cat;;;0
8035076;Dolmen;av. Montserrat, 95;933072857;a8035076@xtec.cat;;;0
8035091;Jaume Balmes;c. Santa Eulàlia, s/n;933458116;a8035091@xtec.cat;;;0
8035118;Institut L'Alzina;rda. de Santa Maria, 310;933718598;a8035118@xtec.cat;;;0
8035143;Institut Margarida Xirgu;trav. de Barcelona, 78-82;933775657;a8035143@xtec.cat;;;0
8035155;LLI privada El Camí Feliç Turó Parc;av. de Tarragona, s/n;937959603;a8035155@xtec.cat;;;0
8035167;Bon Soleil;av. Gatassa, 68-86;933585559;a8035167@xtec.cat;;;0
8035209;Institut Agustí Serra i Fontanet;c. Miguel Hernández, 13-15;933500308;a8035209@xtec.cat;;;0
8035222;Casals-Gràcia;pl. alcalde Joan Manent, 1;938715503;a8035222@xtec.cat;;;0
8035234;Escola Mestres Munguet-Cortés;av. Marquès de Montroig, 169;938718303;a8035234@xtec.cat;;;0
8035246;Escola Renaixença;c. Hernán Cortés, s/n;937790450;a8035246@xtec.cat;;;0
8035258;Escola Cristòfor Mestre;c. Ramon Turró, 60-74;933374358;a8035258@xtec.cat;;;0
8035283;Escola Els Pins - ZER El Moianès Ponent;c. Perú, 195;935641743;a8035283@xtec.cat;;;0
8035295;Escola Puigberenguer;c. Miguel Hernández, 11;936923204;a8035295@xtec.cat;;;0
8035301;Escola Josep Ferrà i Esteva;pg. Valldaura, 12;936997362;a8035301@xtec.cat;;;0
8035313;Escola Josep Pla;pg. Valldaura, 261;938764556;a8035313@xtec.cat;;;0
8035325;Escola Germans Amat i Targa;c. de la Circumval·lació, 27;934685885;a8035325@xtec.cat;;;0
8035349;Escola Doctor Ferran i Clua;c. Portolà, 6;937182654;a8035349@xtec.cat;;;0
8035350;Escola Mercè Rodoreda;pg. Fabra i Puig, 406;936724739;a8035350@xtec.cat;;;0
8035362;Escola Els Horts;c. dels Cavallers, 31-33;938902214;a8035362@xtec.cat;;;0
8035374;Escola La Palmera;av. Jacint Esteva Fontanet, 105;937415414;a8035374@xtec.cat;;;0
8035398;Escola La Sedeta;c. Renaixement, 131;933980450;a8035398@xtec.cat;;;0
8035404;Escola Torrent d'en Melis;c. Rosselló, 303 planta baixa;933877399;a8035404@xtec.cat;;;0
8035416;Escola Prat de la Manta;av. de la Caritat, s/n;933883731;a8035416@xtec.cat;;;0
8035428;Escola Pau Sans;c. Vinyamala, 1;932317665;a8035428@xtec.cat;;;0
8035431;Escola L'Arjau;c. Sardenya, 68-72;932250494;a8035431@xtec.cat;;;0
8035441;Escola Sant Miquel del Cros;c. Costa i Fornaguera, 2-14;933076366;a8035441@xtec.cat;;;0
8035453;Escola Francesc Ferrer i Guàrdia;c. Doctor Almera, 33;934272667;a8035453@xtec.cat;;;0
8035465;Escola Camí del Cros;c. Neopàtria, 74-76;934273854;a8035465@xtec.cat;;;0
8035477;Escola L'Agullola;av. Catalunya, 20;933542410;a8035477@xtec.cat;;;0
8035519;Escola Pablo Picasso;av. Cardenal Vidal i Barraquer, 25;933867864;a8035519@xtec.cat;;;0
8035532;Escola Agustí Bartra;c. Sant Lluís, 17;934183676;a8035532@xtec.cat;;;0
8035544;Escola Lanaspa-Giralt;c. La Carpa, 11-19;933580001;a8035544@xtec.cat;;;0
8035568;Escola Congost;c. la Prada, 1-35;932035457;a8035568@xtec.cat;;;0
8035593;Escola Germans Corbella;rda. Bellesguard, 35;933718051;a8035593@xtec.cat;;;0
8035623;Escola Tagamanent;c. Sant Joan, 10;936922139;a8035623@xtec.cat;;;0
8035672;Escola Les Planes;Camí Mas Lluí, 11-13;932070680;a8035672@xtec.cat;;;0
8035684;Escola del Pont Trencat - ZER Baix Montseny;c. Ripollès, 13-15;937523158;a8035684@xtec.cat;;;0
8035696;Tarrés;c. Sant Antoni Maria Claret, 13;937163071;a8035696@xtec.cat;;;0
8035726;Escola de les Aigües;c. Aragó, 4;932171046;a8035726@xtec.cat;;;0
8035787;Esc. de Música Municipal;pl. Espirall, s/n;937661983;a8035787@xtec.cat;;;0
8035805;Escola Bellaterra;pl. dels Voluntaris Olímpics, 1-3;937259099;a8035805@xtec.cat;;;0
8035842;Fàsia-Sarrià;c. Pau Picasso, 28-32;933111351;a8035842@xtec.cat;;;0
8035854;L'Horitzó;c. Campoamor, 5;933983603;a8035854@xtec.cat;;;0
8035878;Bergantí;c. Copèrnic, 34-40;933870103;a8035878@xtec.cat;;;0
8035881;EA de Sant Cugat del Vallès;rda. Monmany, s/n;933776157;a8035881@xtec.cat;;;0
8035945;Oak House British School;c. de Molist, 17;934374370;a8035945@xtec.cat;;;0
8035957;CEE Josep Sol i Rodríguez;ctra. de Manresa a Santpedor, km 4,400;937161158;a8035957@xtec.cat;;;0
8035969;Escola Joan Salvat i Papasseit;c. Ramon Llull, 29-31 (Bellaterra);937101504;a8035969@xtec.cat;;;0
8035994;Centre Aut Grau Sup.APD Groc;Can Sempere, s/n;936663852;a8035994@xtec.cat;;;0
8036007;Lyceé Français de Barcelone;c. Sant Fermí, 3;936669951;a8036007@xtec.cat;;;0
8036044;Institut La Sedeta;c. Isabel la Catolica, 41;937771315;a8036044@xtec.cat;;;0
8036056;Institut Icària;c. Llança, 20;933725802;a8036056@xtec.cat;;;0
8036101;Padre Damián Sagrados Corazones;av. Roma, 57;933917902;a8036101@xtec.cat;;;0
8036111;Escuela Suiza;c. Comte d'Urgell, 133;938922396;a8036111@xtec.cat;;;0
8036135;Institució Igualada;ptge. Antoni Gassol, 9;933976361;a8036135@xtec.cat;;;0
8036147;CEE Folch i Camarasa;av. Vallcarca, 165;933982711;a8036147@xtec.cat;;;0
8036196;Escola Amadeu Vives;c. Jovellanos, 6;934277419;a8036196@xtec.cat;;;0
8036251;Escola El Margalló;c. La Casa Nova, 17-19-21;932014598;a8036251@xtec.cat;;;0
8036275;Institut La Llauna;ctra. del Ramal, 1;936500087;a8036275@xtec.cat;;;0
8036299;Institut Les Marines;Camí de la Rovira, s/n;932847931;a8036299@xtec.cat;;;0
8036305;Institut El Cairat;c. Salvador Allende, 2-10;938272300;a8036305@xtec.cat;;;0
8036317;Institut Antoni Pous i Argila;c. Ventura Plaja, 36;935808164;a8036317@xtec.cat;;;0
8036330;Institut Jaume Almera;av. 302, 59;935880089;a8036330@xtec.cat;;;0
8036342;Escola Can Vidalet;c. dels Elois, 1;933993192;a8036342@xtec.cat;;;0
8036366;LLI privada Patufet;c. Pantà, 7;934386495;a8036366@xtec.cat;;;0
8036378;Esc. de Música Municipal Victòria dels Àngels;c. Feliu Duran i Canyameres, 7;933340216;a8036378@xtec.cat;;;0
8036391;Esc. de Música Municipal Can Roig i Torres;ctra. de l'Estació, s/n;938444740;a8036391@xtec.cat;;;0
8036411;Esc. de Música Municipal Julià Canals;Camí de Can Girona, s/n;936924550;a8036411@xtec.cat;;;0
8036469;Esc. Mús. i D. Municipal d'Esparreguera;av. Flor de Maig, s/n (Apt. Correus 254);934530299;a8036469@xtec.cat;;;0
8036691;Institut Fort Pius;c. Alella, 51;933087804;a8036691@xtec.cat;;;0
8036755;Frandaser;c. Monlau, 2,4,6;934173311;a8036755@xtec.cat;;;0
8036871;Esc. de Música de l'Orfeó Gracienc;c. de Les Escoles, 10;933182092;a8036871@xtec.cat;;;0
8036950;Santa María del Pino;c. Montanyans, 4;933373469;a8036950@xtec.cat;;;0
8036986;Taiga;c. Roger de Flor, 64;937524286;a8036986@xtec.cat;;;0
8036998;Escola Sant Antoni;c. Sant Salvador, 29;938448225;a8036998@xtec.cat;;;0
8037000;Escola Josep Carner;c. Escola Pia, 27-39;936569051;a8037000@xtec.cat;;;0
8037036;Escola Mestre Enric Gibert i Camins;c. Guitard, 80-92;934401814;a8037036@xtec.cat;;;0
8037048;Escola Rosselló Pòrcel;av. General Prim, 126;936651815;a8037048@xtec.cat;;;0
8037085;Escola Can Cladellas;camí del Crist Treballador, s/n;938211257;a8037085@xtec.cat;;;0
8037097;Escola Collserola;pg. Marítim, s/n;937805533;a8037097@xtec.cat;;;0
8037152;Escola Francesc Aldea i Pérez;c. Maladeta, 75-77;937753618;a8037152@xtec.cat;;;0
8037176;Institut La Mallola;ptge. d'Antonio Ruiz Villalba, 6;933924261;a8037176@xtec.cat;;;0
8037206;Centre Xamfrà-Taller Sant Miquel;c. Guasch, 80;935803142;a8037206@xtec.cat;;;0
8037280;Institut Martí Dot;c. Juan Valera, 159;935707002;a8037280@xtec.cat;;;0
8037292;Colegio Japonés de Barcelona;c. Wagner, 68-84;935948828;a8037292@xtec.cat;;;0
8037346;Escola Jungfrau;c. Molló, s/n;934080126;a8037346@xtec.cat;;;0
8037395;Escola Artur Martorell;av. Primer de Maig, 17;933408204;a8037395@xtec.cat;;;0
8037504;Escola Gitanjali;c. Lola Anglada, 4;938470029;a8037504@xtec.cat;;;0
8037528;Escola Torre de la Llebre;c. Marià Benlliure, 29;938980400;a8037528@xtec.cat;;;0
8037553;Escola Joanot Alisanda;c. Terra Alta, 9;938794001;a8037553@xtec.cat;;;0
8037589;Esc. de Música Luthier;c. Pep Ventura, 13;934153722;a8037589@xtec.cat;;;0
8037668;Escola Ponent;av. de Josep Tarradellas i Joan, 116;937268383;a8037668@xtec.cat;;;0
8037681;Escola Mestres Montaña;pl. Ramon y Cajal, 11;934393688;a8037681@xtec.cat;;;0
8037735;Escola Pont de la Cadena;c. Gustavo Adolfo Becquer, 10;936400933;a8037735@xtec.cat;;;0
8037747;Escola Creu Alta;av. Badalona, 16;936744154;a8037747@xtec.cat;;;0
8037814;Escola Espai 3;c. de Can Parera, 140;933106444;a8037814@xtec.cat;;;0
8037841;Escola Vaixell Burriac;c. Església, s/n (Valls de Torroella);933404010;a8037841@xtec.cat;;;0
8037863;Escola Les Basseroles;c. Pau Casals 134-138;933329346;a8037863@xtec.cat;;;0
8037875;Escola Roc Blanc;c. Rosselló, 303;933879658;a8037875@xtec.cat;;;0
8037887;The American School of Barcelona;c. Prat de la Riba, 89, baixos;933983518;a8037887@xtec.cat;;;0
8037899;Ceir - Arco Aragó;c. Josep Torelló, 6;933978478;a8037899@xtec.cat;;;0
8037917;Escola La Caixa;c. Monturiol, s/n;938490362;a8037917@xtec.cat;;;0
8037929;The Benjamin Franklin International School;Poligon La Balconada;936656199;a8037929@xtec.cat;;;0
8037930;Granja-Escola Sinaí;Plaça Major, s/n;936643502;a8037930@xtec.cat;;;0
8037966;Corazón Inmaculado de María;c. de Garraf, 10;933757251;a8037966@xtec.cat;;;0
8037978;Institut El Calamot;c. Can Paulet, 1;933777457;a8037978@xtec.cat;;;0
8037981;Institut Rubió i Tudurí;c. Frai Juníper Serra, s/n;938303066;a8037981@xtec.cat;;;0
8037991;Escola Tres Pins;c. Pau Claris, 6-8;936628251;a8037991@xtec.cat;;;0
8038004;Institut Badalona VII;pg. de la Creu, s/n;933388389;a8038004@xtec.cat;;;0
8038031;Institut Vallès;c. Mataró, 26-30;935558603;a8038031@xtec.cat;;;0
8038041;Institut Mig-Món;c. Badajoz, 12;634800047;a8038041@xtec.cat;;;0
8038065;Institut Can Puig;ctra. de Martorell, 91;935706859;a8038065@xtec.cat;;;0
8038077;Institut Vinyes Velles;c. Santa Anna, 57;935682472;a8038077@xtec.cat;;;0
8038089;Institut Manuel Vázquez Montalbán;c. Pare Claret, 2;938696965;a8038089@xtec.cat;;;0
8038090;EA de Manresa;c. Bruc, 110;934783268;a8038090@xtec.cat;;;0
8038119;Escola Els Xiprers;pl. Margarida Xirgu, s/n;932074261;a8038119@xtec.cat;;;0
8038120;Institut Sant Ramon;c. Nou de la Rambla, 82-88/c. Tàpies, 7;937859876;a8038120@xtec.cat;;;0
8038156;Institut de Badia del Vallès;c. Sant Oleguer, 75;936917701;a8038156@xtec.cat;;;0
8038168;EA La Industrial;pg. Ernest Lluch, 1;938703438;a8038168@xtec.cat;;;0
8038171;Esc. de Música Municipal Joan Valls;c. Escorxador, 4;936997200;a8038171@xtec.cat;;;0
8038181;Esc. de Música Municipal de la Garriga Josep Aymerich;c. Torrent de les Flors, 68-70;938787129;a8038181@xtec.cat;;;0
8038201;Esc. de Música Centre d'Educació Musical;pça. de la Gardunya, 9;938550558;a8038201@xtec.cat;;;0
8038211;Cons. de Música Mestre Joan Just i Bertran;c. de la Font, 43;936825224;a8038211@xtec.cat;;;0
8038223;Institut Lluïsa Cura;Colom, 114;936540451;a8038223@xtec.cat;;;0
8038247;CEE Pont del Dragó;pl. de les Casernes, 8;938060111;a8038247@xtec.cat;;;0
8038259;Solc;av. de les Drassanes, 14;936541154;a8038259@xtec.cat;;;0
8038260;Perrault;c. Valentí Almirall, 76;935898586;a8038260@xtec.cat;;;0
8038272;Escola Josep Maria Jujol;p. de la Música, 1;938033477;a8038272@xtec.cat;;;0
8038284;Escola Damià Mateu;c. Riera Blanca, 184-186;936561295;a8038284@xtec.cat;;;0
8038314;Escola Galileo Galilei;Travessia Industrial, 161;937850999;a8038314@xtec.cat;;;0
8038326;Escola Charles Darwin;ptge. Salvador Riera, s/n;937809940;a8038326@xtec.cat;;;0
8038351;Escola Can Palmer;Trav. de Collblanch, 56;936926404;a8038351@xtec.cat;;;0
8038363;CFA Cornellà de Llobregat;c. Borí i Fontestà, 23-25;933893957;a8038363@xtec.cat;;;0
8038387;CFA Els Tarongers;c. Vallmanyà, 13-15;934584303;a8038387@xtec.cat;;;0
8038399;Escola Patufet Sant Jordi-Francesc Batallé i Ara;c. Voltregà, 101 (apartat correus 129);932273900;a8038399@xtec.cat;;;0
8038405;Escola Sant Josep - El Pi;pg. del Centenari, s/n;933041111;a8038405@xtec.cat;;;0
8038466;Escola Schola;c. J.V. Foix, 8;937451560;a8038466@xtec.cat;;;0
8038478;EA Illa;c. de Montserrat, s/n;937361760;a8038478@xtec.cat;;;0
8038481;Esc. de Música Aula de Música 7;c. Cebrià Montserrat, 77;938142572;a8038481@xtec.cat;;;0
8038511;Esc. Mús. i D. Estudi Teresa Maria;av. del Remolar, 82-84;934422000;a8038511@xtec.cat;;;0
8038533;Escola Antoni Balmanya;c. Josep Pla, 2;938921362;a8038533@xtec.cat;;;0
8038545;Escola Provençals;c. Rubió i Ors, 83-85;937850070;a8038545@xtec.cat;;;0
8038557;Escola Ítaca;av. Roureda, s/n;938932846;a8038557@xtec.cat;;;0
8038569;Escola Pau Casals-Gràcia;c. Manigua, 25-39;933249330;a8038569@xtec.cat;;;0
8038570;Escola Tabor;c. Vesubi, 35;937269392;a8038570@xtec.cat;;;0
8038582;Escola Edumar;c. Prim, 217;938720088;a8038582@xtec.cat;;;0
8038594;Esc. de Música Municipal Roser Cabanas;c. Concili de Trento, 253;933310400;a8038594@xtec.cat;;;0
8038673;Escola La Lió;c. Indústria, 67-73;933365654;a8038673@xtec.cat;;;0
8038867;Escola Nostra Llar;c. Varsòvia, 161;933409850;a8038867@xtec.cat;;;0
8039057;Institut Alexandre de Riquer;c. Natzaret, 11;933339448;a8039057@xtec.cat;;;0
8039069;Escola Barrufet;ptge. Miner, 25;932099991;a8039069@xtec.cat;;;0
8039082;Escola Font de l'Alba;c. Àncora, 28;937230312;a8039082@xtec.cat;;;0
8039136;Institut Ernest Lluch;barri Cros;938507398;a8039136@xtec.cat;;;0
8039203;Escola L'Estel;c. Joan Llampallas, 51;938459060;a8039203@xtec.cat;;;0
8039215;Institut Manolo Hugué;rda. Cros, s/n;938178013;a8039215@xtec.cat;;;0
8039264;Esc. Viticultura i Enolo. Mercè Rossell i Domènech;c. Pompeu Fabra, 34-38;938904582;a8039264@xtec.cat;;;0
8039288;Institut Pere Calders;c. Canàries, 26;938371553;a8039288@xtec.cat;;;0
8039291;Nins-Nena Cases;av. Barcelona, 69;938787125;a8039291@xtec.cat;;;0
8039306;Teide;c.  Pantà, 10;937782424;a8039306@xtec.cat;;;0
8039318;Institut Salvador Dalí;c. Indústria, 42-44;933707407;a8039318@xtec.cat;;;0
8039343;Institut Carles Vallbona;c. Acàcies, 25;936532604;a8039343@xtec.cat;;;0
8039355;Institut Marina;av. 11 de setembre, 22;936546050;a8039355@xtec.cat;;;0
8039367;Institut L'Estatut;c. Constitució, 2;936589653;a8039367@xtec.cat;;;0
8039379;Institut El Palau;c. Mosqueroles, 1 bis;933404625;a8039379@xtec.cat;;;0
8039380;Institut Marianao;c. Canonge Joncar, 127-B;933538217;a8039380@xtec.cat;;;0
8039434;Institut Joaquim Mir;c. Sardenya, 420;933133550;a8039434@xtec.cat;;;0
8039471;Esc. de Música Municipal de Rubí;c. Salvador Casas, 26;933137006;a8039471@xtec.cat;;;0
8039483;Escola Baloo;Campus UAB, s/n (Bellaterra);932072443;a8039483@xtec.cat;;;0
8039495;L'Espill;c. Iradier, 28;934353391;a8039495@xtec.cat;;;0
8039525;Escola Colònia Güell;pg. de la Bonanova, 7;934318198;a8039525@xtec.cat;;;0
8039537;Escola Àngels Garriga;c. Fra Juníper Serra, 46;933382411;a8039537@xtec.cat;;;0
8039562;Escola Carlit;av. de Gràcia, 50;938151371;a8039562@xtec.cat;;;0
8039574;Escola Turó del Cargol;c. Sant Pere Claver, 12-18;937993951;a8039574@xtec.cat;;;0
8039586;Escola Lavínia;c. Almogàvers, s/n;935558167;a8039586@xtec.cat;;;0
8039598;Escola Nabí;c. Doctor Pagès, 5-7;937993563;a8039598@xtec.cat;;;0
8039604;Escola Orlandai;c. Jeroni Anyé i Casanovas;938513702;a8039604@xtec.cat;;;0
8039616;Escola Pit-Roig;c. Deu i Mata, 11, 13 i 18;938522023;a8039616@xtec.cat;;;0
8039628;Escola Tàber;c. Bosch i Gimpera, 6-10;937184590;a8039628@xtec.cat;;;0
8039631;Escola El Dofí;c. Doctor Trueta, 81;937841732;a8039631@xtec.cat;;;0
8039641;Escola Cossetània;av. Vallvidrera, 8-10-12-14;937331657;a8039641@xtec.cat;;;0
8039653;Escola Llebetx;c. Alfons XII, 99;938494744;a8039653@xtec.cat;;;0
8039665;Escola Montbui;Antiga ctra. N-II, s/n;938461272;a8039665@xtec.cat;;;0
8039677;Escola Ribatallada;c. Jaume Casanovas, 171;938718301;a8039677@xtec.cat;;;0
8039690;Escola Heura;av. Catalunya, 30-36 (barri de Lloreda);935607001;a8039690@xtec.cat;;;0
8039707;Institut Daniel Blanxart i Pedrals;c. Ventura Rodríguez, 14-16;938484788;a8039707@xtec.cat;;;0
8039719;Institut Joan Ramon Benaprès;c. Milà i Fontanals, 59;937235701;a8039719@xtec.cat;;;0
8039744;Escola Flama;c. Fra Luis de  León, 152;934568603;a8039744@xtec.cat;;;0
8039768;CEE Horitzó;c. Margalló, 43;937780050;a8039768@xtec.cat;;;0
8039835;EA EDRA;c. Sagunto, 5 (edifici la Llauna);935811030;a8039835@xtec.cat;;;0
8039872;Institut Salvador Seguí;Camí Ral de València, 12;934182482;a8039872@xtec.cat;;;0
8039896;EA Josep Serra i Abella;c. Gorgonçana, 1;934177658;a8039896@xtec.cat;;;0
8039963;CFA Freire;av. Roma, 260;935554950;a8039963@xtec.cat;;;0
8039987;EA Deià;c. Rafart, 5;936741310;a8039987@xtec.cat;;;0
8040001;Institut Pla de les Moreres;c. dels Cedres, 49;933913511;a8040001@xtec.cat;;;0
8040011;Escola Dovella;c. Salvador Lluch, 27;933927103;a8040011@xtec.cat;;;0
8040035;CEE L'Estel- Can Bori;pl. Victòria dels Àngels, 2;937590890;a8040035@xtec.cat;;;0
8040047;Esc. de Música Frederic Mompou;c. Dalt Ciutadella, 16;934195484;a8040047@xtec.cat;;;0
8040059;Escola Estel;c. Major, 1;932037950;a8040059@xtec.cat;;;0
8040060;Escola Joan Abelló;c. Mestre de Pedret, 2;934589901;a8040060@xtec.cat;;;0
8040096;Escola Andreu Castells;c. Cavallers, 60;932250502;a8040096@xtec.cat;;;0
8040126;Roca;c. Ausias March, 78;932031274;a8040126@xtec.cat;;;0
8040138;Àgora;c. Enric Morera, 9;932096544;a8040138@xtec.cat;;;0
8040141;Escola La Garalda;c. Astúries, 83;938033866;a8040141@xtec.cat;;;0
8040199;Escola Pilarín Bayés;riera Coma Clara, 19-21;933708952;a8040199@xtec.cat;;;0
8040217;EOI Barcelona-Vall d'Hebron;av. Vallvidrera, 71;933834650;a8040217@xtec.cat;;;0
8040266;Escola Els Pinetons;av. Mas Picó, 65;934282120;a8040266@xtec.cat;;;0
8040333;Institut La Ferreria;c. Brasil, s/n;933929975;a8040333@xtec.cat;;;0
8040345;Escola Collbaix;c. Irlanda, 15/Vallès;937105643;a8040345@xtec.cat;;;0
8040357;Institut Pere Barnils;rbla. Sant Sebastià, 92;938152361;a8040357@xtec.cat;;;0
8040382;Institut Vall d'Arús;c. Josep M. de Sagarra, 20;933985211;a8040382@xtec.cat;;;0
8040400;EOI de L'Hospitalet de Llobregat;p. Abat Donadeu  s/n;936654550;a8040400@xtec.cat;;;0
8040412;Institut Giola;c. Alemanya, 146;937774012;a8040412@xtec.cat;;;0
8040527;Institut Moianès;c. Andreu Amat, 11;938513705;a8040527@xtec.cat;;;0
8040539;Institut Torre de Malla;Riera Pahissa, s/n;937531461;a8040539@xtec.cat;;;0
8040540;Institut Sabadell;c. Josep Teixidor, 2-12;933712636;a8040540@xtec.cat;;;0
8040552;EOI de Sabadell;Cementiri, s/n, polígon Can Graells;936626601;a8040552@xtec.cat;;;0
8040564;Escola La Roda;pg. Camp Roig, 12;935890551;a8040564@xtec.cat;;;0
8040618;Institut Jaume Mimó;c. Vila Vall-Llebrera, s/n;933912451;a8040618@xtec.cat;;;0
8040631;Nadís;c. de la Seu d'Urgell, 32;936801637;a8040631@xtec.cat;;;0
8040643;Esc. de Música del Palau;av. Martí Pujol, 37-41;938213911;a8040643@xtec.cat;;;0
8040655;Parc Estudi;av. Massana, 16;937774601;a8040655@xtec.cat;;;0
8040710;Joan Roca Guipúzcoa;c. Sallarès i Pla, 160;932316013;a8040710@xtec.cat;;;0
8040825;Zurich;c. Balmes, 53 pral.;936370643;a8040825@xtec.cat;;;0
8040837;Santa Clara;pg. Rafael de Casanova, 71.;932374302;a8040837@xtec.cat;;;0
8040849;Comercial Català;c. Esteve Terrades, s/n;935554411;a8040849@xtec.cat;;;0
8040904;Escola El Turonet;c. Felip Canalies, 15;932800608;a8040904@xtec.cat;;;0
8041003;Institut Dr. Puigvert;c. Pi i Margall, 24;936565752;a8041003@xtec.cat;;;0
8041052;Institut Escola d'Hoteleria i Turisme de Barcelona;c. Marie Curie, 2;933835803;a8041052@xtec.cat;;;0
8041076;Institut Josep Pla;av. Arquitecte Eduard Farrés, 81;933458649;a8041076@xtec.cat;;;0
8041131;ESCRBC de Catalunya;c. Pintor Casas, s/n;933922405;a8041131@xtec.cat;;;0
8041167;Institut Pere Fontdevila;c. Balmes, 7;937189453;a8041167@xtec.cat;;;0
8041179;Institut Barres i Ones;c. Aragó, 135;938644710;a8041179@xtec.cat;;;0
8041180;Institut Torre del Palau;c. Andrade, 182;935898478;a8041180@xtec.cat;;;0
